C64,is_high_regime,high_regime_days,days_since_last_pm,C33,dslp_x_hour,hour,hour_x_c33,is_special_recipe
C64_10273,1,1.5808472222222223,1.5808472222222223,4.0,20.55101388888889,13,52.0,0
C64_10274,1,1.5795613425925927,1.5795613425925927,3.0,20.534297453703704,13,39.0,0
C64_10275,1,1.5821666666666667,1.5821666666666667,4.0,20.568166666666666,13,52.0,0
C64_10276,1,1.583452546296296,1.583452546296296,4.0,22.168335648148144,14,56.0,0
C64_10277,1,1.5860578703703703,1.5860578703703703,4.0,22.204810185185185,14,56.0,0
C64_10278,1,1.5873773148148147,1.5873773148148147,4.0,22.223282407407407,14,56.0,0
C64_10279,1,1.5886979166666666,1.5886979166666666,4.0,22.241770833333334,14,56.0,0
C64_10280,1,1.560003472222222,1.560003472222222,3.0,20.280045138888887,13,39.0,0
C64_10282,1,1.5709108796296298,1.5709108796296298,3.0,20.421841435185186,13,39.0,0
C64_10283,1,1.5695914351851854,1.5695914351851854,3.0,20.40468865740741,13,39.0,0
C64_10284,1,1.5682361111111112,1.5682361111111112,3.0,20.387069444444446,13,39.0,0
C64_10288,1,1.5655613425925925,1.5655613425925925,3.0,20.352297453703702,13,39.0,0
C64_10289,1,1.566880787037037,1.566880787037037,3.0,20.36945023148148,13,39.0,0
C64_10291,1,1.574940972222222,1.574940972222222,3.0,20.474232638888886,13,39.0,0
C64_10292,1,1.5766076388888888,1.5766076388888888,3.0,20.495899305555554,13,39.0,0
C64_103,0,0.0,0.6621608796296296,4.0,9.932413194444443,15,60.0,0
C64_10305,1,1.5465254629629628,1.5465254629629628,3.0,20.104831018518517,13,39.0,0
C64_10306,1,1.5478449074074072,1.5478449074074072,3.0,20.121983796296295,13,39.0,0
C64_10308,1,1.5504502314814814,1.5504502314814814,3.0,20.155853009259257,13,39.0,0
C64_10309,1,1.551775462962963,1.551775462962963,3.0,20.17308101851852,13,39.0,0
C64_10310,1,1.5530636574074075,1.5530636574074075,3.0,20.189827546296296,13,39.0,0
C64_10312,1,1.5556608796296296,1.5556608796296296,3.0,20.223591435185185,13,39.0,0
C64_10329,1,1.5392650462962962,1.5392650462962962,3.0,18.471180555555556,12,36.0,0
C64_10330,1,1.535269675925926,1.535269675925926,3.0,18.42323611111111,12,36.0,0
