model,feature_set,cv,std,time
LGBM,F-C10,40.347017433365856,0.9436467054513872,84.29553489998216
XGBoost,F-C10,41.434748642967705,1.019461737931179,18.513560199993663
CatBoost,F-C10,41.6649267844778,1.2730592654669608,59.939767199975904
HistGB,F-C10,50.969901132234504,0.49236806245223724,8.134260700026061
ExtraTrees,F-C10,38.00086148547496,0.5029989104792996,8.56236139999237
Ridge+spline,F-C10,67.1410826319026,0.7846495161936592,0.5193863000022247
SegLGBM,F-C10,40.84032221762986,0.9888940565655919,139.5403199000284
ExtraTrees,F-T15,40.90575596414262,0.9933724450709268,11.648531900020316
ExtraTrees,F-P3,38.80708694375257,1.0518565294818318,9.97792410000693
LGBM,F-T15,43.936967911092474,1.0190108100307242,79.67143779998878
LGBM,F-P3,41.05201260366007,0.9689145377656034,73.03157620003913
SegLGBM,F-T15,44.27359487853639,0.8620772477307831,146.4672198999906
SegLGBM,F-P3,41.492144909604086,1.0449436872222515,140.68460169999162
