number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iter,state
10,66.6242252757886,2026-07-16 11:32:17.188063,2026-07-16 11:32:20.908612,0 days 00:00:03.720549,0.6770453467430337,3.449874033290554,0.08484397325237232,4,8.00584668170085,0.04828131396556095,6.903717055434688,0.5089809378074099,57.0,COMPLETE
11,66.51477718214164,2026-07-16 11:32:20.908612,2026-07-16 11:32:25.200281,0 days 00:00:04.291669,0.6774067518529873,3.5258285094666943,0.08530918840211774,4,8.380655186437483,0.039124131406373115,9.467479506701563,0.5057994417050963,90.0,COMPLETE
12,66.3467298284236,2026-07-16 11:32:25.200281,2026-07-16 11:32:28.969657,0 days 00:00:03.769376,0.695230437697538,3.4692658748583245,0.0929243537328255,4,8.621865637561614,0.06645829896219282,9.743623929548416,0.5017876589323725,65.0,COMPLETE
13,66.60127486860216,2026-07-16 11:32:28.969657,2026-07-16 11:32:32.624421,0 days 00:00:03.654764,0.7085337539039133,3.4094815623849084,0.09734468960707901,4,9.364933591435786,0.06701521675295774,9.941450502972573,0.5048569923893228,56.0,COMPLETE
14,67.35976209654687,2026-07-16 11:32:32.624421,2026-07-16 11:32:37.499699,0 days 00:00:04.875278,0.8088107026683172,3.6233761072369313,0.05521919232843115,6,12.326829366535797,0.17418331138236706,3.4454366224454698,0.5883935285268114,72.0,COMPLETE
15,67.17566697650307,2026-07-16 11:32:37.499699,2026-07-16 11:32:42.471575,0 days 00:00:04.971876,0.6351748284983726,2.8974614792641655,0.05439666845351755,6,11.559532298901438,0.8006880767141467,9.866712637860124,0.5827781406926889,79.0,COMPLETE
16,67.5175522213573,2026-07-16 11:32:42.471575,2026-07-16 11:32:47.345798,0 days 00:00:04.874223,0.5465893592529986,4.011643736982737,0.05553714177554507,6,6.461798495202011,0.02570217376368219,1.030272916685292,0.5636829919536318,74.0,COMPLETE
17,66.86923668842479,2026-07-16 11:32:47.347801,2026-07-16 11:32:52.115669,0 days 00:00:04.767868,0.40358371234275753,4.829427998751488,0.07244520343814667,4,5.846084315064028,0.16778321808259045,3.154022257021337,0.6543773088627322,129.0,COMPLETE
18,67.06185447055039,2026-07-16 11:32:52.115669,2026-07-16 11:32:57.399597,0 days 00:00:05.283928,0.7171471363170927,2.9320168165287717,0.03816389506070527,5,11.706329493209607,0.019114323899990224,0.1971323367862436,0.5549911761542332,117.0,COMPLETE
19,68.55781308265831,2026-07-16 11:32:57.399597,2026-07-16 11:33:00.778053,0 days 00:00:03.378456,0.8021663627316259,4.078649186547714,0.06860752808203484,7,7.657855500429104,0.9650576088880909,3.543371230555549,0.7163728055902457,,PRUNED
20,66.65063849002946,2026-07-16 11:33:00.778053,2026-07-16 11:33:05.891497,0 days 00:00:05.113444,0.6159373842879963,3.6559686922745094,0.03736758723037244,4,16.66801228491763,0.11280466805013269,0.06099412898103847,0.5056346457153297,145.0,COMPLETE
21,66.60744296169183,2026-07-16 11:33:05.891497,2026-07-16 11:33:10.101551,0 days 00:00:04.210054,0.7018385805112677,3.1658936561004247,0.09981333615676982,4,9.488726343002904,0.05951582961641953,9.92964099877457,0.5005499282893373,90.0,COMPLETE
22,66.55905597417764,2026-07-16 11:33:10.101551,2026-07-16 11:33:14.117638,0 days 00:00:04.016087,0.6822638377397394,2.4569836818254074,0.09565898116776132,5,9.872584128938776,0.04021012195847785,5.368192125512627,0.5417692888902287,51.0,COMPLETE
23,67.01574541335776,2026-07-16 11:33:14.117638,2026-07-16 11:33:18.413928,0 days 00:00:04.296290,0.6635160757110803,2.4194030560684823,0.07134258489819968,5,10.459990620933134,0.029012579944732123,1.3636111096736336,0.6080382255705333,73.0,COMPLETE
24,67.76492026103209,2026-07-16 11:33:18.413928,2026-07-16 11:33:21.937907,0 days 00:00:03.523979,0.7477981195870397,1.9657917077507676,0.045812825107085633,6,7.478802377999425,0.2880441931085421,4.341556820043348,0.5457505347011112,,PRUNED
25,66.98008064897499,2026-07-16 11:33:21.937907,2026-07-16 11:33:25.937959,0 days 00:00:04.000052,0.8543888596860163,1.5345048123626595,0.07644756858265643,5,13.06644872108,0.009419764524068445,0.6754318238396118,0.6228680286527684,54.0,COMPLETE
26,67.96460305940283,2026-07-16 11:33:25.937959,2026-07-16 11:33:29.216136,0 days 00:00:03.278177,0.5041425237404651,2.6805258565277805,0.05987018847588081,7,10.492218735852672,0.03628294690625193,4.997239282253973,0.5434080270689025,,PRUNED
