number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_min_child_samples,params_min_split_gain,params_num_leaves,user_attrs_mean_best_iter,state
10,68.37431078579537,2026-07-16 11:12:55.043591,2026-07-16 11:12:56.451778,0 days 00:00:01.408187,0.7828065453407016,5,0.9593742051470724,0.001154460820484616,0.24953854867921174,0.08641685654424154,34,0.053676764902937685,32,,PRUNED
11,68.21225402351448,2026-07-16 11:12:56.451778,2026-07-16 11:13:02.151805,0 days 00:00:05.700027,0.7171781358782057,4,0.949023047505232,0.006088906964813205,0.05110333258151407,0.00728313209732978,95,0.4666167274778449,33,,PRUNED
12,68.79244348808176,2026-07-16 11:13:02.151805,2026-07-16 11:13:03.559556,0 days 00:00:01.407751,0.5136838498519677,4,0.6098053365428159,0.0053278821821214845,0.001362522051403353,0.06879806214684504,99,0.3523546659107711,63,,PRUNED
13,68.426808353993,2026-07-16 11:13:03.559556,2026-07-16 11:13:05.551905,0 days 00:00:01.992349,0.7725903687673497,3,0.8799535301810271,0.0061461187083356565,0.1313718642734787,0.051194062478820385,81,0.6446736852680856,64,,PRUNED
14,68.35907728633318,2026-07-16 11:13:05.551905,2026-07-16 11:13:10.069870,0 days 00:00:04.517965,0.6671680435920644,5,0.4045383166706768,0.0023559844694517316,0.013793740605437905,0.010034515080740552,86,0.2886698169947141,60,,PRUNED
15,68.12695832774115,2026-07-16 11:13:10.069870,2026-07-16 11:13:12.287687,0 days 00:00:02.217817,0.506100656510673,2,0.6596103113723263,0.014330820811413054,0.4702198689038464,0.04846650168930744,44,0.6423620561394953,140,,PRUNED
16,68.41906435597869,2026-07-16 11:13:12.287687,2026-07-16 11:13:17.271644,0 days 00:00:04.983957,0.7389128700194534,4,0.8794232130079719,0.001004773637434365,0.0358985394248392,0.009853126672254901,90,0.013179214380923565,57,,PRUNED
17,68.18342441576831,2026-07-16 11:13:17.271644,2026-07-16 11:13:20.216079,0 days 00:00:02.944435,0.6158989330654848,2,0.6709405215217258,0.1064400396078853,0.010106912234462565,0.02206107914576139,68,0.45021886999682087,130,,PRUNED
18,69.73138431715913,2026-07-16 11:13:20.216079,2026-07-16 11:13:22.163653,0 days 00:00:01.947574,0.559052034925493,5,0.8455455006716136,0.00902976994691629,0.08538755652649661,0.09737862121875587,27,0.1643967376099857,76,,PRUNED
19,68.19264626154278,2026-07-16 11:13:22.163653,2026-07-16 11:13:29.356196,0 days 00:00:07.192543,0.8192271571731775,7,0.9947663176861599,0.003510323920110995,0.5436035534327195,0.011341596563641422,83,0.36370461725750014,33,,PRUNED
